NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
900410214,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,5619,SERVICIOS,$0.03,$0.00,$0.02,$0.00,$0.01,2021,10208,1
830126461,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7112,CONSTRUCCIÓN,$0.03,$0.00,$0.16,$0.13,$0.03,2021,4601,1
900924405,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6201,SERVICIOS,$0.03,$0.00,$0.01,$0.01,$0.01,2021,7013,1
830005433,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4723,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.00,2021,5178,1
830142201,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,$0.03,$0.00,$0.01,$0.01,$0.00,2021,4817,1
890805168,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4663,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.01,2021,5485,1
860080273,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,$0.03,$0.03,$0.23,$0.19,$0.05,2021,7555,1
891780008,Costa Atlántica,MAGDALENA,FUNDACION-MAGDALENA,8610,SERVICIOS,$0.03,$0.00,$0.03,$0.01,$0.02,2021,5829,2
830091676,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$0.03,$0.00,$0.03,$0.02,$0.02,2021,4387,1
860031885,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1410,MANUFACTURA,$0.03,-$0.00,$0.07,$0.07,$0.01,2021,4966,1
890929289,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4632,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,4557,1
860052264,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2511,MANUFACTURA,$0.03,$0.00,$0.04,$0.02,$0.02,2021,5240,1
810002618,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4290,CONSTRUCCIÓN,$0.03,$0.00,$0.01,$0.00,$0.00,2021,5576,1
811023657,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,122,AGROPECUARIO,$0.03,$0.00,$0.06,$0.02,$0.04,2021,5490,1
900748750,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,8211,SERVICIOS,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5470,1
800154428,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,2712,MANUFACTURA,$0.03,$0.00,$0.03,$0.02,$0.02,2021,4036,1
860030828,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4752,COMERCIO,$0.03,$0.00,$0.02,$0.02,$0.01,2021,4884,1
900322290,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,4690,COMERCIO,$0.03,$0.01,$0.04,$0.01,$0.03,2021,3864,1
900676165,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7020,SERVICIOS,$0.03,-$0.00,$0.04,$0.03,$0.01,2021,4889,1
900984889,Costa Atlántica,BOLIVAR,TURBACO-BOLIVAR,2395,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5091,1
900448208,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,$0.03,$0.00,$0.03,$0.02,$0.01,2021,4677,1
811003890,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6201,SERVICIOS,$0.03,$0.00,$0.01,$0.01,$0.01,2021,5635,1
806016920,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8610,SERVICIOS,$0.03,$0.00,$0.04,$0.03,$0.01,2021,4565,2
800204388,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.02,2021,4720,1
900010332,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4290,CONSTRUCCIÓN,$0.03,$0.00,$0.17,$0.06,$0.11,2021,8111,1
890903541,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,210,AGROPECUARIO,$0.03,$0.01,$0.26,$0.13,$0.13,2021,4899,1
860030764,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,$0.03,$0.05,$0.52,$0.10,$0.42,2021,3753,1
800052046,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,1011,MANUFACTURA,$0.03,-$0.00,$0.02,$0.02,$0.01,2021,5475,1
804000752,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,4290,CONSTRUCCIÓN,$0.03,$0.00,$0.17,$0.07,$0.10,2021,5046,1
830095024,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7111,SERVICIOS,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4813,1
900519621,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4724,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.00,2021,6363,1
811005709,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4541,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.00,2021,5207,1
